Designator,Mid X,Mid Y,Rotation,Layer
C1_10,210.17914,-69.278022,90.0,top
C1_9,140.17914,-69.278022,90.0,top
C1_8,280.17914,-69.278022,90.0,top
C1_7,175.17914,-69.278022,90.0,top
C1_6,315.17914,-69.278022,90.0,top
C1_5,455.17914,-69.278022,90.0,top
C1_4,420.17914,-69.278022,90.0,top
C1_3,385.17914,-69.278022,90.0,top
C1_2,350.17914,-69.278022,90.0,top
C1,245.17914,-69.278022,90.0,top
C2_10,347.7721,-69.300882,270.0,top
C2_9,277.7721,-69.300882,270.0,top
C2_8,242.7721,-69.300882,270.0,top
C2_7,172.7721,-69.300882,270.0,top
C2_6,312.7721,-69.300882,270.0,top
C2_5,207.7721,-69.300882,270.0,top
C2_4,137.7721,-69.300882,270.0,top
C2_3,417.7721,-69.300882,270.0,top
C2_2,452.7721,-69.300882,270.0,top
C2,382.7721,-69.300882,270.0,top
C3_10,413.783341,-83.921122,0.0,top
C3_9,343.783341,-83.921122,0.0,top
C3_8,168.783341,-83.921122,0.0,top
C3_7,203.783341,-83.921122,0.0,top
C3_6,448.783341,-83.921122,0.0,top
C3_5,378.783341,-83.921122,0.0,top
C3_4,133.783341,-83.921122,0.0,top
C3_3,273.783341,-83.921122,0.0,top
C3_2,238.783341,-83.921122,0.0,top
C3,308.783341,-83.921122,0.0,top
D1_10,212.4161,-92.160882,270.0,top
D1_9,457.4161,-92.160882,270.0,top
D1_8,142.4161,-92.160882,270.0,top
D1_7,352.4161,-92.160882,270.0,top
D1_6,177.4161,-92.160882,270.0,top
D1_5,387.4161,-92.160882,270.0,top
D1_4,422.4161,-92.160882,270.0,top
D1_3,317.4161,-92.160882,270.0,top
D1_2,282.4161,-92.160882,270.0,top
D1,247.4161,-92.160882,270.0,top
D2_10,266.9111,-92.160882,270.0,top
D2_9,441.9111,-92.160882,270.0,top
D2_8,301.9111,-92.160882,270.0,top
D2_7,336.9111,-92.160882,270.0,top
D2_6,371.9111,-92.160882,270.0,top
D2_5,196.9111,-92.160882,270.0,top
D2_4,406.9111,-92.160882,270.0,top
D2_3,231.9111,-92.160882,270.0,top
D2_2,161.9111,-92.160882,270.0,top
D2,126.9111,-92.160882,270.0,top
R1_10,132.1111,-69.300882,270.0,top
R1_9,167.1111,-69.300882,270.0,top
R1_8,377.1111,-69.300882,270.0,top
R1_7,272.1111,-69.300882,270.0,top
R1_6,342.1111,-69.300882,270.0,top
R1_5,447.1111,-69.300882,270.0,top
R1_4,307.1111,-69.300882,270.0,top
R1_3,412.1111,-69.300882,270.0,top
R1_2,202.1111,-69.300882,270.0,top
R1,237.1111,-69.300882,270.0,top
R2_10,374.790041,-69.290725,90.0,top
R2_9,444.790041,-69.290725,90.0,top
R2_8,339.790041,-69.290725,90.0,top
R2_7,164.790041,-69.290725,90.0,top
R2_6,129.790041,-69.290725,90.0,top
R2_5,234.790041,-69.290725,90.0,top
R2_4,269.790041,-69.290725,90.0,top
R2_3,199.790041,-69.290725,90.0,top
R2_2,304.790041,-69.290725,90.0,top
R2,409.790041,-69.290725,90.0,top
R3_10,314.7661,-89.620882,270.0,top
R3_9,279.7661,-89.620882,270.0,top
R3_8,139.7661,-89.620882,270.0,top
R3_7,384.7661,-89.620882,270.0,top
R3_6,244.7661,-89.620882,270.0,top
R3_5,419.7661,-89.620882,270.0,top
R3_4,349.7661,-89.620882,270.0,top
R3_3,454.7661,-89.620882,270.0,top
R3_2,209.7661,-89.620882,270.0,top
R3,174.7661,-89.620882,270.0,top
R4_10,211.035037,-63.227741,90.0,top
R4_9,456.035037,-63.227741,90.0,top
R4_8,386.035037,-63.227741,90.0,top
R4_7,421.035037,-63.227741,90.0,top
R4_6,246.035037,-63.227741,90.0,top
R4_5,281.035037,-63.227741,90.0,top
R4_4,351.035037,-63.227741,90.0,top
R4_3,141.035037,-63.227741,90.0,top
R4_2,316.035037,-63.227741,90.0,top
R4,176.035037,-63.227741,90.0,top
R5_10,198.65,-63.301403,90.0,top
R5_9,373.65,-63.301403,90.0,top
R5_8,338.65,-63.301403,90.0,top
R5_7,303.65,-63.301403,90.0,top
R5_6,268.65,-63.301403,90.0,top
R5_5,128.65,-63.301403,90.0,top
R5_4,163.65,-63.301403,90.0,top
R5_3,443.65,-63.301403,90.0,top
R5_2,408.65,-63.301403,90.0,top
R5,233.65,-63.301403,90.0,top
R6_10,419.9911,-66.125882,0.0,top
R6_9,314.9911,-66.125882,0.0,top
R6_8,384.9911,-66.125882,0.0,top
R6_7,174.9911,-66.125882,0.0,top
R6_6,139.9911,-66.125882,0.0,top
R6_5,454.9911,-66.125882,0.0,top
R6_4,349.9911,-66.125882,0.0,top
R6_3,279.9911,-66.125882,0.0,top
R6_2,244.9911,-66.125882,0.0,top
R6,209.9911,-66.125882,0.0,top
U1_10,344.9111,-77.555882,180.0,top
U1_9,449.9111,-77.555882,180.0,top
U1_8,169.9111,-77.555882,180.0,top
U1_7,274.9111,-77.555882,180.0,top
U1_6,379.9111,-77.555882,180.0,top
U1_5,309.9111,-77.555882,180.0,top
U1_4,134.9111,-77.555882,180.0,top
U1_3,204.9111,-77.555882,180.0,top
U1_2,239.9111,-77.555882,180.0,top
U1,414.9111,-77.555882,180.0,top
U2_10,309.9238,-62.195882,90.0,top
U2_9,134.9238,-62.195882,90.0,top
U2_8,344.9238,-62.195882,90.0,top
U2_7,449.9238,-62.195882,90.0,top
U2_6,204.9238,-62.195882,90.0,top
U2_5,414.9238,-62.195882,90.0,top
U2_4,169.9238,-62.195882,90.0,top
U2_3,274.9238,-62.195882,90.0,top
U2_2,379.9238,-62.195882,90.0,top
U2,239.9238,-62.195882,90.0,top
